station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,feel
8A0,1/1/16 0:15,41.0,39.2,93.24,350,6,0.0,30.25,10.0,36.37
4A6,1/1/16 0:15,41.0,32.0,70.08,360,5,0.0,30.3,10.0,37.08
8A0,1/1/16 0:35,39.2,37.4,93.19,360,6,0.0,30.25,10.0,34.2
4A6,1/1/16 0:35,41.0,32.0,70.08,360,5,0.0,30.29,10.0,37.08
8A0,1/1/16 0:55,37.4,37.4,100.0,360,8,0.0,30.25,10.0,30.76
4A6,1/1/16 0:55,39.2,32.0,75.16,350,4,0.0,30.3,10.0,35.83
4A6,1/1/16 1:15,39.2,32.0,75.16,360,4,0.0,30.3,10.0,35.83
8A0,1/1/16 1:15,37.4,37.4,100.0,350,7,0.0,30.26,10.0,31.36
8A0,1/1/16 1:35,37.4,37.4,100.0,360,9,0.0,30.25,10.0,30.23
4A6,1/1/16 1:35,39.2,32.0,75.16,10,6,0.0,30.3,10.0,34.2
4A6,1/1/16 1:55,39.2,32.0,75.16,20,4,0.0,30.3,10.0,35.83
8A0,1/1/16 1:55,37.4,37.4,100.0,360,8,0.0,30.25,10.0,30.76
8A0,1/1/16 2:15,37.4,37.4,100.0,350,9,0.0,30.26,10.0,30.23
4A6,1/1/16 2:15,39.2,32.0,75.16,20,4,0.0,30.3,10.0,35.83
8A0,1/1/16 2:35,37.4,37.4,100.0,350,9,0.0,30.25,10.0,30.23
4A6,1/1/16 2:35,39.2,32.0,75.16,0,0,0.0,30.3,10.0,39.2
8A0,1/1/16 2:55,37.4,37.4,100.0,360,8,0.0,30.24,10.0,30.76
4A6,1/1/16 2:55,37.4,32.0,80.65,20,3,0.0,30.29,10.0,34.86
4A6,1/1/16 3:15,37.4,32.0,80.65,10,4,0.0,30.29,10.0,33.73
8A0,1/1/16 3:15,37.4,37.4,100.0,10,4,0.0,30.25,10.0,33.73
8A0,1/1/16 3:35,37.4,37.4,100.0,360,6,0.0,30.25,10.0,32.03
4A6,1/1/16 3:35,39.2,32.0,75.16,10,5,0.0,30.29,10.0,34.95
4A6,1/1/16 3:55,37.4,32.0,80.65,360,5,0.0,30.29,10.0,32.81
8A0,1/1/16 3:55,37.4,35.6,93.14,350,4,0.0,30.25,10.0,33.73
8A0,1/1/16 4:15,37.4,37.4,100.0,350,5,0.0,30.26,10.0,32.81
